Timepoint,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
55,1427.509035,2295.33513,3430.0,748.413,0.0,62686.6628518,0.0,0.0,0.0,261747,199060.337148,191159.079983,176170.408283
56,7706.37357639,2295.33513,3430.0,748.413,5009.63090159,58745.8247816,0.0,0.0,0.0,272845,209089.544317,194909.42261,176170.408283
57,1427.509035,2295.33513,3430.0,748.413,32389.7158455,46674.4730922,0.0,0.0,0.0,281548,202483.811062,194582.553897,176170.408283
58,1427.509035,2295.33513,3430.0,748.413,60388.2938231,34608.4731024,0.0,0.0,0.0,285750,190753.233075,182851.97591,176170.408283
59,1427.509035,2295.33513,3430.0,748.413,83910.327278,34432.1797172,0.0,-3.77337904828,0.0,284413,166070.493005,158173.009219,176173.615655
60,1427.509035,2295.33513,3430.0,748.413,98787.414241,27332.5955116,0.0,-11541.2761365,0.0,280653,154532.990247,158173.009219,185983.700371
61,1427.509035,2295.33513,3430.0,748.413,105124.747047,19882.5519353,0.0,-14964.5653665,0.0,276117,151109.701017,158173.009219,198703.580933
62,1427.509035,2295.33513,3430.0,748.413,104787.352399,15229.3126249,0.0,-13892.9314075,0.0,272198,152181.334976,158173.009219,210512.572629
63,1427.509035,2295.33513,3430.0,748.413,95510.2995094,13136.5386002,0.0,-5283.10449345,0.0,269438,160791.16189,158173.009219,215003.211448
64,1427.509035,2295.33513,3430.0,748.413,76516.6087327,14181.2761127,0.0,0.0,0.0,269896,179198.115155,171296.85799,215003.211448
65,1427.509035,2295.33513,3430.0,748.413,47664.4095777,17336.1681485,5938.74249831,0.0,0.0,273750,208749.422274,194909.42261,209064.46895
66,23673.45,2295.33513,3430.0,748.413,7745.06486712,20304.449,24517.8653925,0.0,0.0,277624,249574.486133,194909.42261,184546.603558
67,23673.45,2295.33513,3430.0,748.413,908.400812215,26519.9187796,27206.0596678,0.0,0.0,279691,252262.680408,194909.42261,157340.54389
68,19806.9669228,2295.33513,3430.0,748.413,492.497258619,37081.0740954,20202.2909828,0.0,0.0,278966,241392.428646,194909.42261,137138.252907
69,23673.45,2295.33513,3430.0,748.413,0.0,44690.8268582,4584.55240135,0.0,0.0,274332,229641.173142,194909.42261,132553.700506
70,22212.2739908,2295.33513,3430.0,748.413,0.0,42176.5552688,0.0,0.0,0.0,265772,223595.444731,194909.42261,132553.700506
71,17827.047315,2295.33513,3430.0,748.413,0.0,36493.7819446,0.0,0.0,0.0,255704,219210.218055,194909.42261,132553.700506
72,1427.509035,2295.33513,3430.0,748.413,0.0,32021.619719,12553.7005056,0.0,0.0,247386,215364.380281,194909.42261,120000.0
73,20488.5163946,2295.33513,3430.0,748.413,0.0,28743.5766934,0.0,0.0,0.0,241037,212293.423307,185331.158782,120000.0
74,18991.325218,2295.33513,3430.0,748.413,0.0,25439.76787,0.0,0.0,0.0,236236,210796.23213,185331.158782,120000.0
75,1581.38646,2295.33513,3430.0,748.413,0.0,22361.8806277,18289.8260003,0.0,0.0,234038,211676.119372,185331.158782,101710.174
76,23673.45,2295.33513,3430.0,748.413,0.0,19233.5119897,1026.13109836,0.0,0.0,235738,216504.48801,185331.158782,100684.042901
77,23673.45,2295.33513,3430.0,748.413,0.0,18556.3890463,5868.2540417,0.0,0.0,239903,221346.610954,185331.158782,94815.7888596
78,1783.45396741,2295.33513,3430.0,748.413,0.0,20099.8341171,32676.8050035,0.0,0.0,246365,226265.165883,185331.158782,62138.9838561
79,23673.45,2295.33513,3430.0,748.413,0.0,22821.4204893,15488.2225988,0.0,0.0,253788,230966.579511,185331.158782,46650.7612574
80,23673.45,2295.33513,3430.0,748.413,4682.9421001,26395.2042901,14681.4966979,0.0,0.0,261238,230159.85361,185331.158782,31969.2645595
81,1581.38646,2295.33513,3430.0,748.413,32732.0972545,23105.6373655,17278.972008,0.0,0.0,266503,210665.26538,185331.158782,14690.2925515
82,1581.38646,2295.33513,3430.0,748.413,61065.5662129,20342.9665968,0.0,0.0,0.0,269530,188121.46719,180066.3326,14690.2925515
83,1581.38646,2295.33513,3430.0,748.413,84317.4400422,30562.8721411,0.0,-3597.93173801,0.0,269369,154488.687817,150031.484965,17748.5345288
