"generator_posoco","generator_cea","zones_gp","Region","Zone","Node.Name","Fuel","year","month","daily.mwh.monthly.avg","daily.min.monthly.avg","daily.max.monthly.avg","daily.mwh.monthly.avg.fraction","daily.min.monthly.avg.fraction","daily.max.monthly.avg.fraction","gen._capacity_mw"
"GEN_172022_ADHYDRO_220_1","GEN_182202_ADHYDRO_220_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,9,1588.33333333333,49.7666666666667,65.7833333333333,0.689380787037037,0.518402777777778,0.685243055555556,96
"GEN_172022_ADHYDRO_220_1","GEN_182202_ADHYDRO_220_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,10,663.870967741935,8.7741935483871,47.3548387096774,0.288138440860215,0.0913978494623656,0.493279569892473,96
"GEN_172022_ADHYDRO_220_1","GEN_182202_ADHYDRO_220_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,11,320,0,29.2166666666667,0.138888888888889,0,0.304340277777778,96
"GEN_172022_ADHYDRO_220_1","GEN_182202_ADHYDRO_220_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,12,237.741935483871,0,6.80645161290323,0.103186603942652,0,0.0709005376344086,96
"GEN_172022_ADHYDRO_220_2","GEN_182202_ADHYDRO_220_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,1,184.354838709677,0,0.0161290322580645,0.0800151209677419,0,0.000168010752688172,96
"GEN_172022_ADHYDRO_220_2","GEN_182202_ADHYDRO_220_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,2,174.285714285714,0,3.21428571428571,0.0756448412698413,0,0.0334821428571429,96
"GEN_172022_ADHYDRO_220_2","GEN_182202_ADHYDRO_220_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,3,180.161290322581,1.45161290322581,13.8387096774194,0.0781950044802867,0.0151209677419355,0.144153225806452,96
"GEN_172022_ADHYDRO_220_2","GEN_182202_ADHYDRO_220_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,4,464.5,32.3,48.45,0.201605902777778,0.201605902777778,0.5046875,96
"GEN_172022_ADHYDRO_220_2","GEN_182202_ADHYDRO_220_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,5,1243.38709677419,43.7258064516129,60.5161290322581,0.539664538530466,0.455477150537634,0.630376344086022,96
"GEN_172022_ADHYDRO_220_2","GEN_182202_ADHYDRO_220_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,6,2307.16666666667,59.3,91.6166666666667,1,0.617708333333333,0.954340277777778,96
"GEN_172022_ADHYDRO_220_2","GEN_182202_ADHYDRO_220_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,7,2611.45161290323,84.5967741935484,96,1,0.881216397849462,1,96
"GEN_172022_ADHYDRO_220_2","GEN_182202_ADHYDRO_220_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,8,1810.64516129032,67.2096774193548,80.2741935483871,0.785870295698925,0.700100806451613,0.836189516129032,96
"GEN_172022_ADHYDRO_220_2","GEN_182202_ADHYDRO_220_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,9,1588.33333333333,49.7666666666667,65.7833333333333,0.689380787037037,0.518402777777778,0.685243055555556,96
"GEN_172022_ADHYDRO_220_2","GEN_182202_ADHYDRO_220_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,10,663.870967741935,8.7741935483871,47.3548387096774,0.288138440860215,0.0913978494623656,0.493279569892473,96
"GEN_172022_ADHYDRO_220_2","GEN_182202_ADHYDRO_220_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,11,320,0,29.2166666666667,0.138888888888889,0,0.304340277777778,96
"GEN_172022_ADHYDRO_220_2","GEN_182202_ADHYDRO_220_2","Himachal_Pradesh","HIMACHAL PRADESH","NR","172022_ADHYDRO_220","HYDRO-ROR",2014,12,237.741935483871,0,6.80645161290323,0.103186603942652,0,0.0709005376344086,96
"GEN_174000_BASPA4_400_1","GEN_124402_BASPA4_400_1","Himachal_Pradesh","HIMACHAL PRADESH","NR","174000_BASPA4_400","HYDRO-ROR",2014,1,357.204301096774,0,1.62365591387097,0.148835125456989,0,0.0162365591387097,100
