"state","fuel","generator_cea","node","gen_capacity","voltage","region","vom","var_cost","heat_rate","fuel_price","owner_type","generator_posoco","type","zones_gp"
"MADHYA PRADESH","HYDRO-STORAGE","GEN_361201_BANSGR-4_132_1","361201_BANSGR-4_132",11,132,"WR",0,0,NA,0,"MADHYA PRADESH State or Private","GEN_321200_BANSGR-4_132_1","hydro","Madhya_Pradesh"
"MADHYA PRADESH","HYDRO-STORAGE","GEN_361201_BANSGR-4_132_2","361201_BANSGR-4_132",11,132,"WR",0,0,NA,0,"MADHYA PRADESH State or Private","GEN_321200_BANSGR-4_132_2","hydro","Madhya_Pradesh"
"MADHYA PRADESH","HYDRO-STORAGE","GEN_362067_BIRSNG-H_220_1","362067_BIRSNG-H_220",22,220,"WR",0,0,NA,0,"MADHYA PRADESH State or Private","GEN_322062_BIRSNG-H_220_1","hydro","Madhya_Pradesh"
"MADHYA PRADESH","HYDRO-STORAGE","GEN_364006_INDSGR4_400_1","364006_INDSGR4_400",125,400,"WR",0,0,NA,0,"MADHYA PRADESH State or Private","GEN_324006_INDIRA-SAGAR_400_1","hydro","Madhya_Pradesh"
"MADHYA PRADESH","HYDRO-STORAGE","GEN_364006_INDSGR4_400_2","364006_INDSGR4_400",125,400,"WR",0,0,NA,0,"MADHYA PRADESH State or Private","GEN_324006_INDIRA-SAGAR_400_2","hydro","Madhya_Pradesh"
"MADHYA PRADESH","HYDRO-STORAGE","GEN_364006_INDSGR4_400_3","364006_INDSGR4_400",125,400,"WR",0,0,NA,0,"MADHYA PRADESH State or Private","GEN_324006_INDIRA-SAGAR_400_3","hydro","Madhya_Pradesh"
"MADHYA PRADESH","HYDRO-STORAGE","GEN_364006_INDSGR4_400_4","364006_INDSGR4_400",125,400,"WR",0,0,NA,0,"MADHYA PRADESH State or Private","GEN_324006_INDIRA-SAGAR_400_4","hydro","Madhya_Pradesh"
"MADHYA PRADESH","HYDRO-STORAGE","GEN_364006_INDSGR4_400_5","364006_INDSGR4_400",125,400,"WR",0,0,NA,0,"MADHYA PRADESH State or Private","GEN_324006_INDIRA-SAGAR_400_5","hydro","Madhya_Pradesh"
"MADHYA PRADESH","HYDRO-STORAGE","GEN_364006_INDSGR4_400_6","364006_INDSGR4_400",125,400,"WR",0,0,NA,0,"MADHYA PRADESH State or Private","GEN_324006_INDIRA-SAGAR_400_6","hydro","Madhya_Pradesh"
"MADHYA PRADESH","HYDRO-STORAGE","GEN_364006_INDSGR4_400_7","364006_INDSGR4_400",125,400,"WR",0,0,NA,0,"MADHYA PRADESH State or Private","GEN_324006_INDIRA-SAGAR_400_7","hydro","Madhya_Pradesh"
"MADHYA PRADESH","HYDRO-STORAGE","GEN_364006_INDSGR4_400_8","364006_INDSGR4_400",125,400,"WR",0,0,NA,0,"MADHYA PRADESH State or Private","GEN_324006_INDIRA-SAGAR_400_8","hydro","Madhya_Pradesh"
"MAHARASHTRA","HYDRO-PUMPED","GEN_372089_BHIRA2_220_7","372089_BHIRA2_220",150,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332081_BHIRA2_220_7","hydro_pumped","Maharashtra"
"MAHARASHTRA","HYDRO-PUMPED","GEN_372145_GHATGR_220_1","372145_GHATGR_220",125,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332140_GHATGR_220_1","hydro_pumped","Maharashtra"
"MAHARASHTRA","HYDRO-PUMPED","GEN_372145_GHATGR_220_2","372145_GHATGR_220",125,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332140_GHATGR_220_2","hydro_pumped","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371085_KHAPRALE_132_1","371085_KHAPRALE_132",4.5,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331122_KHAPRALE_132_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371085_KHAPRALE_132_2","371085_KHAPRALE_132",6,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331122_KHAPRALE_132_2","hydro","Maharashtra"
