gen_capacity,generator,type,var_cost
200.0,GAS-CT-NEW-5,gas_ct,8204.0
200.0,GAS-CT-NEW-6,gas_ct,8205.0
200.0,GAS-CT-NEW-7,gas_ct,8206.0
200.0,GAS-CT-NEW-8,gas_ct,8207.0
200.0,GAS-CT-NEW-9,gas_ct,8208.0
200.0,GAS-CT-NEW-10,gas_ct,8209.0
200.0,GAS-CT-NEW-11,gas_ct,8210.0
200.0,GAS-CT-NEW-12,gas_ct,8211.0
200.0,GAS-CT-NEW-13,gas_ct,8212.0
200.0,GAS-CT-NEW-14,gas_ct,8213.0
200.0,GAS-CT-NEW-15,gas_ct,8214.0
200.0,GAS-CT-NEW-16,gas_ct,8215.0
200.0,GAS-CT-NEW-17,gas_ct,8216.0
200.0,GAS-CT-NEW-18,gas_ct,8217.0
200.0,GAS-CT-NEW-19,gas_ct,8218.0
200.0,GAS-CT-NEW-20,gas_ct,8219.0
200.0,GAS-CT-NEW-21,gas_ct,8220.0
200.0,GAS-CT-NEW-22,gas_ct,8221.0
200.0,GAS-CT-NEW-23,gas_ct,8222.0
200.0,GAS-CT-NEW-24,gas_ct,8223.0
200.0,GAS-CT-NEW-25,gas_ct,8224.0
200.0,GAS-CT-NEW-26,gas_ct,8225.0
200.0,GAS-CT-NEW-27,gas_ct,8226.0
200.0,GAS-CT-NEW-28,gas_ct,8227.0
200.0,GAS-CT-NEW-29,gas_ct,8228.0
200.0,GAS-CT-NEW-30,gas_ct,8229.0
200.0,GAS-CT-NEW-31,gas_ct,8230.0
200.0,GAS-CT-NEW-32,gas_ct,8231.0
200.0,GAS-CT-NEW-33,gas_ct,8232.0
200.0,GAS-CT-NEW-34,gas_ct,8233.0
200.0,GAS-CT-NEW-35,gas_ct,8234.0
200.0,GAS-CT-NEW-36,gas_ct,8235.0
200.0,GAS-CT-NEW-37,gas_ct,8236.0
200.0,GAS-CT-NEW-38,gas_ct,8237.0
200.0,GAS-CT-NEW-39,gas_ct,8238.0
200.0,GAS-CT-NEW-40,gas_ct,8239.0
200.0,GAS-CT-NEW-41,gas_ct,8240.0
200.0,GAS-CT-NEW-42,gas_ct,8241.0
200.0,GAS-CT-NEW-43,gas_ct,8242.0
200.0,GAS-CT-NEW-44,gas_ct,8243.0
200.0,GAS-CT-NEW-45,gas_ct,8244.0
200.0,GAS-CT-NEW-46,gas_ct,8245.0
200.0,GAS-CT-NEW-47,gas_ct,8246.0
200.0,GAS-CT-NEW-48,gas_ct,8247.0
200.0,GAS-CT-NEW-49,gas_ct,8248.0
200.0,GAS-CT-NEW-50,gas_ct,8249.0
200.0,GAS-CT-NEW-51,gas_ct,8250.0
200.0,GAS-CT-NEW-52,gas_ct,8251.0
200.0,GAS-CT-NEW-53,gas_ct,8252.0
200.0,GAS-CT-NEW-54,gas_ct,8253.0
200.0,GAS-CT-NEW-55,gas_ct,8254.0
200.0,GAS-CT-NEW-56,gas_ct,8255.0
200.0,GAS-CT-NEW-57,gas_ct,8256.0
200.0,GAS-CT-NEW-58,gas_ct,8257.0
200.0,GAS-CT-NEW-59,gas_ct,8258.0
