Timepoint,net_load_final,hydro_dispatch_final
245,282015.0,2052.488115
246,294798.0,2052.488115
247,299900.5067,13616.9814146
248,302256.038115,23673.45
249,293003.0,2052.488115
250,257544.0,2052.488115
251,213824.0,2052.488115
252,168944.0,2052.488115
253,142890.0,2052.488115
254,143800.0,2052.488115
255,161304.0,2052.488115
256,197831.0,2052.488115
257,260600.0,2052.488115
258,319654.038115,23673.45
259,331825.038115,23673.45
260,319190.038115,23673.45
261,305930.038115,23673.45
262,299900.5067,15113.9814146
263,299900.5067,3143.98141457
264,291739.0,2052.488115
265,283911.0,2033.549355
266,276510.0,2033.549355
267,275408.0,2033.549355
268,280182.0,2033.549355
269,288955.0,2033.549355
270,299567.498847,2897.05050798
271,299567.498847,17686.050508
272,302028.099355,23673.45
273,287251.0,2033.549355
274,249049.0,2033.549355
275,205741.0,2033.549355
276,168165.0,2033.549355
277,148286.0,2033.549355
278,145001.0,2033.549355
279,158774.0,2033.549355
280,191267.0,2033.549355
281,248095.0,2033.549355
282,303100.099355,23673.45
283,310913.099355,23673.45
284,299567.498847,22645.050508
285,299567.498847,12908.050508
286,299567.498847,7124.05050798
287,299567.498847,5114.05050798
288,299567.498847,5623.05050798
289,302522.0,2069.05953
290,298453.0,2069.05953
291,299254.0,2069.05953
292,305318.0,2069.05953
293,313316.0,2069.05953
294,321429.899019,6217.16051146
295,321429.899019,20715.1605115
296,326677.60953,23673.45
297,310037.0,2069.05953
298,266207.0,2069.05953
299,224130.0,2069.05953
300,186966.0,2069.05953
301,170196.0,2069.05953
302,170956.0,2069.05953
303,188088.0,2069.05953
304,220101.0,2069.05953
305,275981.0,2069.05953
306,325837.60953,23673.45
307,334296.60953,23673.45
308,322084.60953,23673.45
309,321429.899019,13431.1605115
310,321429.899019,5325.16051146
311,316140.0,2069.05953
312,311087.0,2069.05953
313,303746.0,2166.120675
314,296834.0,2166.120675
315,295480.0,2166.120675
316,303559.0,2166.120675
317,311271.49793,3234.62274517
318,311271.49793,14916.6227452
319,317326.670675,23673.45
320,322435.670675,23673.45
321,301348.0,2166.120675
322,254889.0,2166.120675
323,210901.0,2166.120675
324,177200.0,2166.120675
325,159444.0,2166.120675
326,157556.0,2166.120675
327,174570.0,2166.120675
328,199675.0,2166.120675
329,255640.0,2166.120675
330,311271.49793,22016.6227452
331,320391.670675,23673.45
332,311271.49793,19136.6227452
333,311271.49793,8504.62274517
334,307208.0,2166.120675
335,297218.0,2166.120675
336,290572.0,2166.120675
337,282826.0,2142.447225
338,275745.0,2142.447225
339,273433.0,2142.447225
340,281102.0,2142.447225
341,292282.0,2142.447225
342,306741.0,2142.447225
343,313862.8368,12369.6104252
344,313862.8368,22670.6104252
345,297448.0,2142.447225
346,253343.0,2142.447225
347,207719.0,2142.447225
348,171145.0,2142.447225
349,153321.0,2142.447225
350,155242.0,2142.447225
351,171185.0,2142.447225
352,203905.0,2142.447225
353,262397.0,2142.447225
354,319594.997225,23673.45
355,335496.997225,23673.45
356,324018.997225,23673.45
357,313862.8368,21722.6104252
358,313862.8368,9282.61042521
359,309587.0,2142.447225
360,301486.0,2142.447225
361,295721.0,2118.773775
362,291778.0,2118.773775
363,291846.0,2118.773775
364,296006.0,2118.773775
365,303053.0,2118.773775
366,315810.0,2118.773775
367,324277.04095,9209.73282517
368,324277.04095,17369.7328252
369,304936.0,2118.773775
370,262932.0,2118.773775
371,215278.0,2118.773775
372,175732.0,2118.773775
373,153098.0,2118.773775
374,153054.0,2118.773775
375,167691.0,2118.773775
376,204095.0,2118.773775
377,263363.0,2118.773775
378,324277.04095,22288.7328252
379,342645.323775,23673.45
380,336634.323775,23673.45
381,328697.323775,23673.45
382,324277.04095,16305.7328252
383,324277.04095,3392.73282517
384,315164.0,2118.773775
385,308248.763886,2419.68333941
386,305622.0,2142.447225
387,306970.0,2142.447225
388,308248.763886,6490.68333941
389,308248.763886,13636.6833394
390,308971.997225,23673.45
391,320693.997225,23673.45
392,324811.997225,23673.45
393,300933.0,2142.447225
394,251224.0,2142.447225
395,203595.0,2142.447225
396,161500.0,2142.447225
397,135419.0,2142.447225
398,134608.0,2142.447225
399,135919.0,2142.447225
400,161196.0,2142.447225
401,215885.0,2142.447225
402,299620.0,2142.447225
403,308248.763886,19378.6833394
404,308248.763886,15421.6833394
405,308248.763886,11360.6833394
406,308248.763886,3764.68333941
407,303598.0,2142.447225
408,299642.0,2142.447225
409,294824.0,2166.120675
410,289430.0,2166.120675
411,286800.0,2166.120675
412,292178.0,2166.120675
413,299435.0,2166.120675
414,308793.193387,3466.92728764
415,308793.193387,15446.9272876
416,308793.193387,19753.9272876
417,285338.0,2166.120675
418,243024.0,2166.120675
419,202447.0,2166.120675
420,166165.0,2166.120675
421,144444.0,2166.120675
422,142776.0,2166.120675
423,157629.0,2166.120675
424,187844.0,2166.120675
425,246954.0,2166.120675
426,308793.193387,22018.9272876
427,329733.670675,23673.45
428,320394.670675,23673.45
429,308793.193387,22928.9272876
430,308793.193387,7866.92728764
431,299994.0,2166.120675
432,291000.0,2166.120675
433,275424.624128,9529.14964669
434,274846.0,2118.773775
435,268158.0,2118.773775
436,270509.0,2118.773775
437,275413.0,2118.773775
438,275424.624128,9166.14964669
439,275424.624128,20097.1496467
440,277281.323775,23673.45
441,257490.0,2118.773775
442,212851.0,2118.773775
443,172040.0,2118.773775
444,135516.0,2118.773775
445,114654.0,2118.773775
446,118976.0,2118.773775
447,136535.0,2118.773775
448,165031.0,2118.773775
449,213403.0,2118.773775
450,275424.624128,16696.1496467
451,286887.323775,23673.45
452,275424.624128,15696.1496467
453,270994.0,2118.773775
454,260566.0,2118.773775
455,258393.0,2118.773775
456,262997.0,2118.773775
