"","scenario","scenario_main","dispatch_cost","ann_gen_total_MWh","ann_gen_vre_nocurt_MWh","ann_gen_vre_MWh","ann_curt_vre_MWh","ann_gen_solarPV_MWh","ann_gen_wind_MWh","ann_gen_coal_MWh","ann_gen_gas_ccgt_MWh","ann_gen_gas_ct_MWh","ann_gen_diesel_MWh","ann_gen_other_MWh","ann_gen_hydro_MWh","ann_gen_nuclear_MWh","ann_discharge_bat_storage_MWh","ann_charge_bat_storage_MWh","new_capacity_coal_MW","new_capacity_gas_ccgt_MW","new_capacity_gas_ct_MW","capacity_vre_MW","capacity_solarPV_MW","capacity_wind_MW","capacity_bat_storage_MW","energy_bat_storage_MWh","scenario_build","scenario_split","rank","date_time","scenario_econ_dispatch","scenario_sensitivity","ann_cap_cost_coal_mil","ann_cap_cost_ccgt_mil","ann_cap_cost_ct_mil","ann_cap_cost_solar_mil","ann_cap_cost_wind_mil","ann_cap_cost_battery_mil","total_cost_new_conv","total_cost_vre","total_cost_capacity","total_cost_energy","total_cost","system_cost_vre","cost_vre_pMWh","cost_vre_nocurt_pMWh","cost_battery_pMWh","cost_battery_nocurt_pMWh","capacity_value_pMWh","energy_value_pMWh","system_cost_vre_pMWh","system_cost_add_pMWh_load","system_cost_add_perc","vre_share_after_curt","vre_curt","vre_share_nocurt","total_emissions_co2_milTonnes","grid_emissions_factor_kg_kWh","total_emissions_reduced_milTonnes","emissions_reduction","cost_emissions_reduction_pTonneCO2_avg","avoided_conv_cap_mw_perVREmw"
"164","S100W100","battery15",3652547383590,2428358463.14,427217839,427213520.27,4321,175033902.84,252179617.28,1812587744.95,28077324.07,1457851.18,187334.61,0,128787887.33,30046800,21563254.74,-25368535.81,118140,0,25600,200102,100079,100023,15000,60000,"200 GW","50-50",4,"2018-01-19 19:25:37","ClcC70mB15","ClcC70mB15",14856.2307963426,0,1668.59598529565,7871.05460234159,10941.6729003589,4324.50288121674,16524.8267816383,18812.7275027005,39662.0571655555,56193.0366706154,95855.0938361709,5088.8303829011,44.0358898070707,44.0354446498207,10.1225796376567,10.1224773088577,7.85226755529794,34.3945227373161,11.9116791521134,2.09558451116025,0.0560652183894409,0.17592687684074,1.01089645744383e-05,0.175928655297284,1680.445262087,0.692008732480992,384.7331761634,0.186295367527342,13.2269081487785,0.103946987036611
"165","S150W50","battery15",3770691649280,2428527980.74,392945562,391155873.57,1789683,260485545.38,130670328.45,1841558133.64,34750098.33,1989238.75,239948.05,0,128787887.33,30046800,22523853.45,-26498652.15,122100,0,22800,200039,150010,50029,15000,60000,"200 GW","75-25",5,"2018-01-19 20:43:23","ClcC70mB15","ClcC70mB15",15354.2050129798,0,1486.09329940394,11798.0485506176,5472.75080263595,4324.50288121674,16840.2983123838,17270.7993532536,38435.6005468541,58010.6407581538,96446.2413050079,5679.97785173812,44.1532404860152,43.9521425445023,11.0557022747681,11.0053485760369,7.76959657007783,32.9183374687908,14.5210087219147,2.33885625234072,0.0625780729054954,0.161067064770162,0.00455454547161932,0.161804008484294,1710.2785020609,0.704244923519374,354.8999361895,0.171849526227946,16.0044487827275,0.098180854733327
"166","S200W0","battery15",3966780118210,2428546919.68,348007539,311450405.73,36557121,311450405.73,0,1916620216.38,38461435.72,2530651.08,649522.53,0,128787887.33,30046800,22631174.35,-26624912.04,138600,0,14200,200004,200004,0,15000,60000,"200 GW","100-0",6,"2018-01-19 22:06:46","ClcC70mB15","ClcC70mB15",17429.0975823014,0,925.54933559368,15729.9973489616,0,4324.50288121674,18354.6469178951,15729.9973489616,38409.1471480734,61027.386434,99436.5335820734,8670.27012880363,50.5056248428783,45.2001626003901,13.8850449434498,12.4264632129614,4.8957224010354,31.6565822096827,27.83836517561,3.5701472590639,0.0955230478697346,0.128245578953459,0.105046957818922,0.143298668096499,1781.571320727,0.733595594258377,283.6071175234,0.137328141854739,30.5714123274366,0.0586988260234795
"167","S0W300","battery15",3102538511920,2426945302.4,687477610,684916577.3,2561036,0,684916577.3,1560288658.83,21479598.01,1226599.71,198008.95,1171.8,128787887.33,30046800,13555346.94,-15947467.4,118800,0,33800,300007,0,300007,15000,60000,"300 GW","0-100",7,"2018-01-19 23:19:58","ClcC70mB15","ClcC70mB15",14939.2264991155,0,2203.06813683566,0,32818.2364238022,4324.50288121674,17142.2946359512,32818.2364238022,54285.0339409702,47731.3617218462,102016.395662816,11250.1322095465,47.9156696034057,47.7371712859161,6.31391183180921,6.29039086991755,3.9962925424843,33.8077378367239,16.4255510560067,4.63551123233856,0.123946186408109,0.282213437864746,0.00372525979427904,0.283268687316585,1445.4221224441,0.595572599437954,619.7563158063,0.300098192159779,18.1525091759817,0.0397990713550017
"168","S75W225","battery15",3140660809740,2427688145.14,662279339,660647816.37,1631516,130259995.84,530387820.56,1584721024.38,21960226.75,1303489.21,220900.66,0,128787887.33,30046800,17764789.25,-20899752.46,108900,0,32000,300060,75025,225035,15000,60000,"300 GW","25-75",8,"2018-01-20 00:35:05","ClcC70mB15","ClcC70mB15",13694.2909575226,0,2085.74498161956,5900.59724358435,24616.9317170277,4324.50288121674,15780.0359391421,30517.5289606121,50622.0677809709,48317.8586113846,98939.9263923555,8173.66293908573,46.1933396348661,46.0795425185566,6.54585207740212,6.52972639573275,6.20509991151025,34.1618978169849,12.3721939837731,3.36685045624522,0.0900517728516374,0.272130428981397,0.00246349619250314,0.272802476844409,1468.1689744081,0.604760120177394,597.0094638423,0.289083719249016,13.6910106692124,0.0787842431513697
"169","S150W150","battery15",3263718777350,2428619258.94,628643078,618146633.5,10496439,257897009.07,360249624.51,1620975615.82,28434732.92,1899663.97,327924.58,0,128787887.33,30046800,23041097.54,-27107174.49,108240,0,29400,300020,150010,150010,15000,60000,"300 GW","50-50",9,"2018-01-20 01:57:06","ClcC70mB15","ClcC70mB15",13611.2952547497,0,1916.27820186297,11798.0485506176,16409.8292570993,4324.50288121674,15527.5734566127,28207.8778077169,48059.9541455463,50211.0581130769,98271.0122586232,7504.74880535339,45.6329878365614,44.8710544900279,6.99591754909515,6.87910681363891,7.04015512433649,33.4480244227583,12.1407258385617,3.09012982489027,0.0826821389338908,0.254525953882865,0.0166969857258175,0.258847934144432,1504.7058408375,0.619572555598627,560.4725974129,0.271391850230495,13.3900369794969,0.0896606892873808
"170","S225W75","battery15",3545712045100,2428600983.89,583353677,504595344.62,78758332,323712620.16,180882724.34,1725085194.4,36702459.75,2598797.97,784498.94,0,128787887.33,30046800,22937538.93,-26985340.8,116820,0,23600,300020,225017,75003,15000,60000,"300 GW","75-25",10,"2018-01-20 03:23:42","ClcC70mB15","ClcC70mB15",14690.2393907969,0,1538.23692394443,17697.230122754,8204.69584541174,4324.50288121674,16228.4763147413,25901.9259681657,46454.9051641238,54549.4160784615,101004.321242585,10238.0577893156,51.3320747889023,44.4017531549145,8.57023935580188,7.41317497723896,7.23539241933978,32.377281920967,20.2896398043974,4.21561955102102,0.112795849468746,0.207772025115368,0.135009575640337,0.240201532021788,1604.7739437949,0.660781229374478,460.4044944555,0.222936907498197,22.2370934962823,0.0803946403573095
"171","S300W0","battery15",3906023041690,2428564383.74,519352657,343357140.18,175995527,343357140.18,0,1883037234.45,39587560.74,2795853.35,951906.8,0,128787887.33,30046800,22730137.35,-26741339.03,139260,0,10400,300014,300014,0,15000,60000,"300 GW","100-0",11,"2018-01-20 04:55:05","ClcC70mB15","ClcC70mB15",17512.0932850743,0,677.867119026357,23595.6252107526,0,4324.50288121674,18189.9604041006,23595.6252107526,46110.08849607,60092.6621798462,106202.750675916,15436.4872226463,68.7203568808354,45.432761135855,12.5947661346133,8.32671754525507,4.9204197153224,31.4371782736946,44.9575250264317,6.35621905929217,0.170068554497604,0.141382761963769,0.338874778915399,0.213851714402644,1751.5629823913,0.721233908443426,313.6154558591,0.15185876922325,49.2210665458452,0.0495976854413461
"172","S0W400","battery15",2788706046700,2427294508.34,888594843,850138528.53,38456310,0,850138528.53,1396360772.81,20460042.63,1289334.96,208797.84,2343.6,128787887.33,30046800,15534178.93,-18275505.25,112200,0,41800,400031,0,400031,15000,60000,"400 GW","0-100",12,"2018-01-20 06:10:59","ClcC70mB15","ClcC70mB15",14109.2694713869,0,2724.50438224055,0,43760.0187157301,4324.50288121674,16833.7738536274,43760.0187157301,64918.2954505743,42903.1699492308,107821.465399805,17055.2019465352,51.4739860001368,49.2463118151701,5.08682142508512,4.86667564558074,3.58253118780293,32.9166023170217,20.0616739203973,7.02642464189443,0.187902435306439,0.350241194716582,0.0432776701023461,0.366084477984379,1294.2286241434,0.533198019315962,770.949814107,0.373309056412647,22.1223244813807,0.0263479580332524
"173","S100W300","battery15",2767553122060,2428318211.61,862515820,846228296.44,16287553,168748987.19,677479309.32,1401306274.68,20169448.78,1410127.26,369376.71,0,128787887.33,30046800,21335166.1,-25100195.78,99660,500,36200,400086,100079,300007,15000,60000,"400 GW","25-75",13,"2018-01-20 07:29:19","ClcC70mB15","ClcC70mB15",12532.3511187025,38.7515754230079,2359.49901045713,7871.05460234159,32818.2364238022,4324.50288121674,14930.6017045826,40689.2910261438,59944.3956119432,42577.7403393846,102522.135951328,11755.872498058,48.0831132654388,47.1751243080316,5.11032649157385,5.01382442030656,5.84809083113345,33.4532673829743,13.8920815429049,4.84115814881762,0.129518083600636,0.348483280483632,0.0188837389208698,0.355190607176702,1298.8642102692,0.534882209448176,766.3142279812,0.371064414477625,15.3407989422668,0.0704348565058512
