Generator,Company,Companies,GEN_132204_LEHRAMOHABBA_220_1,PUNJAB State or Private
Generator,Company,Companies,GEN_132204_LEHRAMOHABBA_220_2,PUNJAB State or Private
Generator,Company,Companies,GEN_132204_LEHRAMOHABBA_220_3,PUNJAB State or Private
Generator,Company,Companies,GEN_132204_LEHRAMOHABBA_220_4,PUNJAB State or Private
Generator,Company,Companies,GEN_132221_RSD_220_1,PUNJAB State or Private
Generator,Company,Companies,GEN_132221_RSD_220_2,PUNJAB State or Private
Generator,Company,Companies,GEN_132221_RSD_220_3,PUNJAB State or Private
Generator,Company,Companies,GEN_132221_RSD_220_4,PUNJAB State or Private
Generator,Company,Companies,GEN_132232_ROPAR_220_1,PUNJAB State or Private
Generator,Company,Companies,GEN_132232_ROPAR_220_2,PUNJAB State or Private
Generator,Company,Companies,GEN_132232_ROPAR_220_3,PUNJAB State or Private
Generator,Company,Companies,GEN_132232_ROPAR_220_4,PUNJAB State or Private
Generator,Company,Companies,GEN_132232_ROPAR_220_5,PUNJAB State or Private
Generator,Company,Companies,GEN_132232_ROPAR_220_6,PUNJAB State or Private
Generator,Company,Companies,GEN_132247_BATHINDA_220_1,PUNJAB State or Private
Generator,Company,Companies,GEN_132247_BATHINDA_220_2,PUNJAB State or Private
Generator,Company,Companies,GEN_132247_BATHINDA_220_3,PUNJAB State or Private
Generator,Company,Companies,GEN_132247_BATHINDA_220_4,PUNJAB State or Private
Generator,Company,Companies,GEN_132270_GOINDWAL_220_1,PUNJAB State or Private
Generator,Company,Companies,GEN_132270_GOINDWAL_220_2,PUNJAB State or Private
Generator,Company,Companies,GEN_134401_TALWANDISABO_400_1,PUNJAB State or Private
Generator,Company,Companies,GEN_134401_TALWANDISABO_400_2,PUNJAB State or Private
Generator,Company,Companies,GEN_134401_TALWANDISABO_400_3,PUNJAB State or Private
Generator,Company,Companies,GEN_134406_RAJPURA_TH_400_1,PUNJAB State or Private
Generator,Company,Companies,GEN_134406_RAJPURA_TH_400_2,PUNJAB State or Private
Generator,Company,Companies,GEN_142211_PANIPAT_OLD_220_1,HARYANA State or Private
Generator,Company,Companies,GEN_142211_PANIPAT_OLD_220_2,HARYANA State or Private
Generator,Company,Companies,GEN_142211_PANIPAT_OLD_220_3,HARYANA State or Private
