Fuel,Generator,Transport Charge
COGENERATION-BAGASSE,GEN_171725_DWARIK02_132_1,398.37
COGENERATION-BAGASSE,GEN_171726_SUKHBI_132_1,398.37
COGENERATION-BAGASSE,GEN_171728_BAJAJ02_132_1,398.37
COGENERATION-BAGASSE,GEN_171729_BAJAJ03_132_1,398.37
COGENERATION-BAGASSE,GEN_171730_BAJAJ04_132_1,398.37
COGENERATION-BAGASSE,GEN_171732_BAJAJ06_132_1,398.37
COGENERATION-BAGASSE,GEN_171733_BAJAJ07_132_1,398.37
COGENERATION-BAGASSE,GEN_171734_BAJAJ08_132_1,398.37
COGENERATION-BAGASSE,GEN_171735_BAJAJ09_132_1,398.37
COGENERATION-BAGASSE,GEN_171736_BAJAJ10_132_1,398.37
COGENERATION-BAGASSE,GEN_171737_DCM02_132_1,398.37
COGENERATION-BAGASSE,GEN_171738_DCM03_132_1,398.37
COGENERATION-BAGASSE,GEN_171739_UTTAM01_132_1,398.37
COGENERATION-BAGASSE,GEN_171740_UTTAM02_132_1,398.37
COGENERATION-BAGASSE,GEN_171741_DHAMPU01_132_1,398.37
COGENERATION-BAGASSE,GEN_171742_DHAMPU02_132_1,398.37
COGENERATION-BAGASSE,GEN_171743_DHAMPU03_132_1,398.37
COGENERATION-BAGASSE,GEN_171744_UPPERG_132_1,398.37
COGENERATION-BAGASSE,GEN_171745_CHADA_132_1,398.37
COGENERATION-BAGASSE,GEN_171746_DAURAL_132_1,398.37
COGENERATION-BAGASSE,GEN_171747_PARLE01_132_1,398.37
COGENERATION-BAGASSE,GEN_171748_NEWIND_132_1,398.37
COGENERATION-BAGASSE,GEN_171749_PARLE02_132_1,398.37
COGENERATION-BAGASSE,GEN_171750_LHSUGAR0_132_1,398.37
COGENERATION-BAGASSE,GEN_171751_GULARI02_132_1,398.37
COGENERATION-BAGASSE,GEN_171752_HAIDER02_132_1,398.37
COGENERATION-BAGASSE,GEN_171753_DCM04_132_1,398.37
SUBCRITICAL-COAL,GEN_172227_ROSA-TP1_220_1,328.83
SUBCRITICAL-COAL,GEN_172227_ROSA-TP1_220_2,328.83
SUBCRITICAL-COAL,GEN_172257_HARDUGN2_220_5,396.19
SUBCRITICAL-COAL,GEN_172257_HARDUGN2_220_7,396.19
SUBCRITICAL-COAL,GEN_172257_HARDUGN2_220_8,250.96
SUBCRITICAL-COAL,GEN_172257_HARDUGN2_220_9,250.96
SUBCRITICAL-COAL,GEN_172263_PARICHA2_220_1,292.08
SUBCRITICAL-COAL,GEN_172263_PARICHA2_220_2,292.08
SUBCRITICAL-COAL,GEN_172263_PARICHA2_220_3,241.34
SUBCRITICAL-COAL,GEN_172263_PARICHA2_220_4,241.34
SUBCRITICAL-COAL,GEN_172265_PANKI2_220_1,331.45
SUBCRITICAL-COAL,GEN_172265_PANKI2_220_2,331.45
SUBCRITICAL-COAL,GEN_172271_OBRA2_220_1,162.6
SUBCRITICAL-COAL,GEN_172271_OBRA2_220_2,162.6
SUBCRITICAL-COAL,GEN_172271_OBRA2_220_3,162.6
SUBCRITICAL-COAL,GEN_172271_OBRA2_220_4,162.6
SUBCRITICAL-COAL,GEN_172286_TANDA2_220_1,257.96
SUBCRITICAL-COAL,GEN_172286_TANDA2_220_2,257.96
SUBCRITICAL-COAL,GEN_172286_TANDA2_220_3,257.96
SUBCRITICAL-COAL,GEN_172286_TANDA2_220_4,257.96
SUPERCRITICAL-COAL,GEN_174000_MEJA_400_1,133.33
SUPERCRITICAL-COAL,GEN_174000_MEJA_400_2,133.33
SUPERCRITICAL-COAL,GEN_174263_BARA_400_1,133.33
SUPERCRITICAL-COAL,GEN_174263_BARA_400_2,133.33
SUPERCRITICAL-COAL,GEN_174263_BARA_400_3,133.33
SUBCRITICAL-COAL,GEN_174264_KARCHNA_400_1,73.61
SUBCRITICAL-COAL,GEN_174264_KARCHNA_400_2,73.61
SUBCRITICAL-COAL,GEN_174408_PARICHHA_400_5,232.59
SUBCRITICAL-COAL,GEN_174408_PARICHHA_400_6,232.59
SUBCRITICAL-COAL,GEN_174468_ANPARA4_400_1,117.1
SUBCRITICAL-COAL,GEN_174468_ANPARA4_400_2,117.1
SUBCRITICAL-COAL,GEN_174468_ANPARA4_400_3,117.1
SUBCRITICAL-COAL,GEN_174468_ANPARA4_400_4,110.1
SUBCRITICAL-COAL,GEN_174468_ANPARA4_400_5,110.1
SUBCRITICAL-COAL,GEN_174471_ROSA-TP2_400_3,328.83
SUBCRITICAL-COAL,GEN_174471_ROSA-TP2_400_4,328.83
SUBCRITICAL-COAL,GEN_174472_OBRA4_400_5,170.47
SUBCRITICAL-COAL,GEN_174472_OBRA4_400_6,170.47
SUBCRITICAL-COAL,GEN_174472_OBRA4_400_7,170.47
