Generator,Fuel
GEN_162242_BARSINGS_220_2,SUBCRITICAL-COAL
GEN_162257_SURATGARH-42_220_1,SUBCRITICAL-COAL
GEN_162257_SURATGARH-42_220_2,SUBCRITICAL-COAL
GEN_162261_KTPS_220_1,SUBCRITICAL-COAL
GEN_162261_KTPS_220_2,SUBCRITICAL-COAL
GEN_162261_KTPS_220_3,SUBCRITICAL-COAL
GEN_162261_KTPS_220_4,SUBCRITICAL-COAL
GEN_162261_KTPS_220_5,SUBCRITICAL-COAL
GEN_162261_KTPS_220_6,SUBCRITICAL-COAL
GEN_162261_KTPS_220_7,SUBCRITICAL-COAL
GEN_162278_RAJWEST_220_7,SUBCRITICAL-COAL
GEN_162278_RAJWEST_220_8,SUBCRITICAL-COAL
GEN_162314_RAMGARH_220_4,CCGT-GAS
GEN_162314_RAMGARH_220_5,CCGT-GAS
GEN_162321_VSLP_220_1,SUBCRITICAL-COAL
GEN_164411_CHABRA-4_400_1,SUBCRITICAL-COAL
GEN_164411_CHABRA-4_400_2,SUBCRITICAL-COAL
GEN_164411_CHABRA-4_400_3,SUBCRITICAL-COAL
GEN_164411_CHABRA-4_400_4,SUBCRITICAL-COAL
GEN_164411_CHABRA-4_400_5,SUPERCRITICAL-COAL
GEN_164411_CHABRA-4_400_6,SUPERCRITICAL-COAL
GEN_164412_KALISI-4_400_1,SUBCRITICAL-COAL
GEN_164412_KALISI-4_400_2,SUBCRITICAL-COAL
GEN_164413_RAJWEST_400_1,SUBCRITICAL-COAL
GEN_164413_RAJWEST_400_2,SUBCRITICAL-COAL
GEN_164413_RAJWEST_400_3,SUBCRITICAL-COAL
GEN_164413_RAJWEST_400_4,SUBCRITICAL-COAL
GEN_164413_RAJWEST_400_5,SUBCRITICAL-COAL
GEN_164413_RAJWEST_400_6,SUBCRITICAL-COAL
GEN_164414_KAWAI_400_1,SUPERCRITICAL-COAL
GEN_164414_KAWAI_400_2,SUPERCRITICAL-COAL
GEN_164457_SURATG-4_400_3,SUBCRITICAL-COAL
GEN_164457_SURATG-4_400_4,SUBCRITICAL-COAL
GEN_164457_SURATG-4_400_5,SUBCRITICAL-COAL
GEN_164457_SURATG-4_400_6,SUBCRITICAL-COAL
GEN_164457_SURATG-4_400_7,SUPERCRITICAL-COAL
GEN_171170_OBRAH1_132_1,HYDRO-ROR
GEN_171170_OBRAH1_132_2,HYDRO-ROR
GEN_171170_OBRAH1_132_3,HYDRO-ROR
GEN_171189_RIHND1_132_1,HYDRO-STORAGE
GEN_171189_RIHND1_132_2,HYDRO-STORAGE
GEN_171189_RIHND1_132_3,HYDRO-STORAGE
GEN_171189_RIHND1_132_4,HYDRO-STORAGE
GEN_171189_RIHND1_132_5,HYDRO-STORAGE
GEN_171189_RIHND1_132_6,HYDRO-STORAGE
GEN_171610_KHAMBAKH_132_1,COGENERATION-BAGASSE
GEN_171610_KHAMBAKH_132_2,COGENERATION-BAGASSE
GEN_171627_UTRAULA_132_1,COGENERATION-BAGASSE
GEN_171627_UTRAULA_132_2,COGENERATION-BAGASSE
GEN_171663_MAQSUDPR_132_1,COGENERATION-BAGASSE
GEN_171663_MAQSUDPR_132_2,COGENERATION-BAGASSE
GEN_171666_BARKHER_132_1,COGENERATION-BAGASSE
GEN_171666_BARKHER_132_2,COGENERATION-BAGASSE
GEN_171668_KUNDARK_132_1,COGENERATION-BAGASSE
GEN_171668_KUNDARK_132_2,COGENERATION-BAGASSE
GEN_171700_AKBCHIN_132_1,COGENERATION-BAGASSE
GEN_171701_BALRCHIN_132_1,COGENERATION-BAGASSE
GEN_171702_DCM01_132_1,COGENERATION-BAGASSE
GEN_171703_HAIDER01_132_1,COGENERATION-BAGASSE
GEN_171704_LHSUGAR0_132_1,COGENERATION-BAGASSE
GEN_171705_MANCHIN_132_1,COGENERATION-BAGASSE
GEN_171706_RAUCHIN_132_1,COGENERATION-BAGASSE
GEN_171707_TRIVEN01_132_1,COGENERATION-BAGASSE
GEN_171708_TRIVEN02_132_1,COGENERATION-BAGASSE
GEN_171709_KUMBH_132_1,COGENERATION-BAGASSE
GEN_171710_GULARI01_132_1,COGENERATION-BAGASSE
GEN_171711_JKSUGAR_132_1,COGENERATION-BAGASSE
GEN_171712_MAWANA01_132_1,COGENERATION-BAGASSE
GEN_171713_MAWANA02_132_1,COGENERATION-BAGASSE
GEN_171714_MAWANA03_132_1,COGENERATION-BAGASSE
GEN_171715_SBECBIO_132_1,COGENERATION-BAGASSE
GEN_171716_SIMBHO01_132_1,COGENERATION-BAGASSE
GEN_171717_SIMBHO02_132_1,COGENERATION-BAGASSE
GEN_171719_OUDH_132_1,COGENERATION-BAGASSE
GEN_171720_DALMI01_132_1,COGENERATION-BAGASSE
GEN_171721_DALMI02_132_1,COGENERATION-BAGASSE
GEN_171722_DALMI03_132_1,COGENERATION-BAGASSE
GEN_171723_KMSAGA_132_1,COGENERATION-BAGASSE
GEN_171724_DWARIK01_132_1,COGENERATION-BAGASSE
GEN_171725_DWARIK02_132_1,COGENERATION-BAGASSE
GEN_171726_SUKHBI_132_1,COGENERATION-BAGASSE
GEN_171728_BAJAJ02_132_1,COGENERATION-BAGASSE
GEN_171729_BAJAJ03_132_1,COGENERATION-BAGASSE
GEN_171730_BAJAJ04_132_1,COGENERATION-BAGASSE
GEN_171732_BAJAJ06_132_1,COGENERATION-BAGASSE
GEN_171733_BAJAJ07_132_1,COGENERATION-BAGASSE
GEN_171734_BAJAJ08_132_1,COGENERATION-BAGASSE
GEN_171735_BAJAJ09_132_1,COGENERATION-BAGASSE
GEN_171736_BAJAJ10_132_1,COGENERATION-BAGASSE
GEN_171737_DCM02_132_1,COGENERATION-BAGASSE
GEN_171738_DCM03_132_1,COGENERATION-BAGASSE
GEN_171739_UTTAM01_132_1,COGENERATION-BAGASSE
GEN_171740_UTTAM02_132_1,COGENERATION-BAGASSE
GEN_171741_DHAMPU01_132_1,COGENERATION-BAGASSE
GEN_171742_DHAMPU02_132_1,COGENERATION-BAGASSE
GEN_171743_DHAMPU03_132_1,COGENERATION-BAGASSE
GEN_171744_UPPERG_132_1,COGENERATION-BAGASSE
GEN_171745_CHADA_132_1,COGENERATION-BAGASSE
GEN_171746_DAURAL_132_1,COGENERATION-BAGASSE
GEN_171747_PARLE01_132_1,COGENERATION-BAGASSE
GEN_171748_NEWIND_132_1,COGENERATION-BAGASSE
GEN_171749_PARLE02_132_1,COGENERATION-BAGASSE
GEN_171750_LHSUGAR0_132_1,COGENERATION-BAGASSE
GEN_171751_GULARI02_132_1,COGENERATION-BAGASSE
GEN_171752_HAIDER02_132_1,COGENERATION-BAGASSE
GEN_171753_DCM04_132_1,COGENERATION-BAGASSE
GEN_172227_ROSA-TP1_220_1,SUBCRITICAL-COAL
GEN_172227_ROSA-TP1_220_2,SUBCRITICAL-COAL
GEN_172247_KHARA2_220_1,HYDRO-ROR
GEN_172247_KHARA2_220_2,HYDRO-ROR
GEN_172247_KHARA2_220_3,HYDRO-ROR
GEN_172257_HARDUGN2_220_5,SUBCRITICAL-COAL
GEN_172257_HARDUGN2_220_7,SUBCRITICAL-COAL
GEN_172257_HARDUGN2_220_8,SUBCRITICAL-COAL
GEN_172257_HARDUGN2_220_9,SUBCRITICAL-COAL
GEN_172263_PARICHA2_220_1,SUBCRITICAL-COAL
GEN_172263_PARICHA2_220_2,SUBCRITICAL-COAL
GEN_172263_PARICHA2_220_3,SUBCRITICAL-COAL
GEN_172263_PARICHA2_220_4,SUBCRITICAL-COAL
GEN_172265_PANKI2_220_1,SUBCRITICAL-COAL
GEN_172265_PANKI2_220_2,SUBCRITICAL-COAL
GEN_172271_OBRA2_220_1,SUBCRITICAL-COAL
GEN_172271_OBRA2_220_2,SUBCRITICAL-COAL
GEN_172271_OBRA2_220_3,SUBCRITICAL-COAL
GEN_172271_OBRA2_220_4,SUBCRITICAL-COAL
GEN_172286_TANDA2_220_1,SUBCRITICAL-COAL
GEN_172286_TANDA2_220_2,SUBCRITICAL-COAL
GEN_172286_TANDA2_220_3,SUBCRITICAL-COAL
GEN_172286_TANDA2_220_4,SUBCRITICAL-COAL
GEN_174000_MEJA_400_1,SUPERCRITICAL-COAL
GEN_174000_MEJA_400_2,SUPERCRITICAL-COAL
GEN_174263_BARA_400_1,SUPERCRITICAL-COAL
GEN_174263_BARA_400_2,SUPERCRITICAL-COAL
GEN_174263_BARA_400_3,SUPERCRITICAL-COAL
GEN_174264_KARCHNA_400_1,SUBCRITICAL-COAL
GEN_174408_PARICHHA_400_5,SUBCRITICAL-COAL
GEN_174408_PARICHHA_400_6,SUBCRITICAL-COAL
GEN_174447_VISHNU4_400_1,HYDRO-ROR
GEN_174447_VISHNU4_400_2,HYDRO-ROR
GEN_174447_VISHNU4_400_3,HYDRO-ROR
GEN_174447_VISHNU4_400_4,HYDRO-ROR
GEN_174468_ANPARA4_400_1,SUBCRITICAL-COAL
