"","scenario","scenario_main","dispatch_cost","ann_gen_total_MWh","ann_gen_vre_nocurt_MWh","ann_gen_vre_MWh","ann_curt_vre_MWh","ann_gen_solarPV_MWh","ann_gen_wind_MWh","ann_gen_coal_MWh","ann_gen_gas_ccgt_MWh","ann_gen_gas_ct_MWh","ann_gen_diesel_MWh","ann_gen_other_MWh","ann_gen_hydro_MWh","ann_gen_nuclear_MWh","ann_discharge_bat_storage_MWh","ann_charge_bat_storage_MWh","new_capacity_coal_MW","new_capacity_gas_ccgt_MW","new_capacity_gas_ct_MW","capacity_vre_MW","capacity_solarPV_MW","capacity_wind_MW","capacity_bat_storage_MW","energy_bat_storage_MWh","scenario_build","scenario_split","rank","date_time","scenario_econ_dispatch","scenario_sensitivity","ann_cap_cost_coal_mil","ann_cap_cost_ccgt_mil","ann_cap_cost_ct_mil","ann_cap_cost_solar_mil","ann_cap_cost_wind_mil","ann_cap_cost_battery_mil","total_cost_new_conv","total_cost_vre","total_cost_capacity","total_cost_energy","total_cost","system_cost_vre","cost_vre_pMWh","cost_vre_nocurt_pMWh","cost_battery_pMWh","cost_battery_nocurt_pMWh","cost_vre_battery_pMWh","cost_vre_battery_nocurt_pMWh","capacity_value_pMWh","energy_value_pMWh","total_value_pMWh","system_cost_vre_pMWh","system_cost_add_pMWh_load","system_cost_add_perc","vre_share_after_curt","vre_curt","vre_share_nocurt","total_emissions_co2_milTonnes","grid_emissions_factor_kg_kWh","total_emissions_reduced_milTonnes","emissions_reduction","cost_emissions_reduction_pTonneCO2_avg","avoided_conv_cap_mw_perVREmw"
"21","S150W50","coal_55mingen",3751886704850,2424553182,392945562,392894373.88,51186,261614371.61,131280002.53,1838833752.83,31822358.62,1660160.02,507849.42,0,128787887.33,30046800,0,0,126720,0,24200,200039,150010,50029,0,0,"200 GW","75-25",5,"2018-01-18 20:20:20","ClcC55m","ClcC55m",15935.1749323899,0,1577.34464234979,11798.0485506176,5472.75080263595,0,17512.5195747397,17270.7993532536,34783.3189279933,57721.3339207692,92504.6528487625,1765.60771441576,43.957868835578,43.9521425445023,0,0,43.957868835578,43.9521425445023,6.02427071664375,33.4397498182329,39.4640205348767,4.49384830070133,0.728219833461983,0.0194580812681204,0.162048156665264,0.000130267713775591,0.162069269058417,1706.554780561,0.703863620410781,358.728357173501,0.173694517046706,4.92185153224956,0.0680867230889976
"22","S200W0","coal_55mingen",3895864638940,2424553182,348007539,337681775.54,10325785,337681775.54,0,1893688673.63,31801837.38,1899713.82,646494.31,0,128787887.33,30046800,0,0,144540,0,11000,200004,200004,0,0,0,"200 GW","100-0",6,"2018-01-18 21:40:04","ClcC55m","ClcC55m",18176.0589072572,0,716.974837431724,15729.9973489616,0,0,18893.0337446889,15729.9973489616,34623.0310936505,59936.3790606154,94559.4101542659,3820.36501991919,46.5823105905172,45.2001626003901,0,0,46.5823105905172,45.2001626003901,2.92105755418022,32.3477463663075,35.2688039204878,11.3135066700295,1.57569858573603,0.0421027685960638,0.139275878973068,0.0296710912920768,0.143534710471036,1757.27729648,0.724783976497654,308.0058412545,0.149134922774979,12.4035472975413,0.0449991000179996
"23","S0W400","coal_55mingen",2788760350060,2424553182,888594843,849354929.25,39239894,0,849354929.25,1394576848.6,20172475.79,1280762.23,332339.52,1139.25,128787887.33,30046800,0,0,113520,0,40200,400031,0,400031,0,0,"400 GW","0-100",12,"2018-01-19 05:29:30","ClcC55m","ClcC55m",14275.2608769326,0,2620.21713315957,0,43760.0187157301,0,16895.4780100922,43760.0187157301,60655.4967258223,42904.0053855385,103559.502111361,12820.456977014,51.5214749555539,49.2463118151701,0,0,51.5214749555539,49.2463118151701,3.51318810686335,32.9139410863898,36.4271291932531,15.0943457623007,5.28776067779981,0.141289308897093,0.350314002413167,0.0441595110067502,0.366498392197363,1292.5625391551,0.533113708847942,772.720598579401,0.374147536703869,16.5913229187673,0.0270479037874565
"24","S100W300","coal_55mingen",2772352998320,2424553182,862515820,845287343.72,17228481,168468492.5,676818851.28,1398044883.46,20352977.57,1392284.31,639036.24,1969.28,128787887.33,30046800,0,0,101640,750,36400,400086,100079,300007,0,0,"400 GW","25-75",13,"2018-01-19 06:45:23","ClcC55m","ClcC55m",12781.338227021,58.1273631345119,2372.53491659225,7871.05460234159,32818.2364238022,0,15212.0005067478,40689.2910261438,55901.2915328917,42651.5845895385,98552.8761224301,7813.83098808338,48.1366381839761,47.1751243080316,0,0,48.1366381839761,47.1751243080316,5.52169764987905,33.3709467062754,38.8926443561545,9.24399382782159,3.22279216067259,0.0861132159426447,0.348636338437719,0.0199746785861852,0.355742174023387,1296.1506921947,0.534593632268983,769.132445539801,0.372410170541312,10.159278851641,0.0643611623500947
"25","S200W200","coal_55mingen",2927994177500,2424553182,825174368,782608957.67,42565424,318681235.53,463927722.01,1456624048.87,23441780.58,2214183.64,829524.05,0,128787887.33,30046800,0,0,107580,0,34200,400009,200004,200005,0,0,"400 GW","50-50",14,"2018-01-19 08:09:48","ClcC55m","ClcC55m",13528.2995519768,0,2229.13994910591,15729.9973489616,21878.8607463911,0,15757.4395010827,37608.8580953527,53366.2975964355,45046.0642692308,98412.3618656662,7673.31673131952,48.0557470327488,45.5768617565115,0,0,48.0557470327488,45.5768617565115,5.26697542183565,32.9839812924319,38.2509567142676,9.80479031848125,3.16483745883018,0.0845646625436551,0.322784818035804,0.051583534317925,0.340340799338259,1352.0148182182,0.557634630683964,713.268319516301,0.345361033789641,10.7579665623214,0.056898719778805
"26","S300W100","coal_55mingen",3284446101880,2424553182,771532271,629641779.18,141890479,398201338.44,231440440.92,1604012558.03,28530325.78,2665323.1,868508.38,0,128787887.33,30046800,0,0,117480,0,29600,400037,300014,100023,0,0,"400 GW","75-25",15,"2018-01-19 09:36:55","ClcC55m","ClcC55m",14773.2350935698,0,1929.31410799809,23595.6252107526,10941.6729003589,0,16702.5492015679,34537.2981111115,51239.8473126794,50529.9400289231,101769.787341602,11030.7422072557,54.852297374692,44.764554133746,0,0,54.852297374692,44.764554133746,5.04552358105666,32.2876977538888,37.3332213349454,17.5190760397466,4.54959795856346,0.121565553075016,0.259693944374778,0.183907397205943,0.31821627041547,1490.0656206398,0.614573287854488,575.217517094701,0.278517510061929,19.1766451462911,0.0436459627484458
"27","S400W0","coal_55mingen",3733443351880,2424553182,689271552,429952303.39,259319253,429952303.39,0,1800059028.8,31983463.44,2641938.92,1081760,0,128787887.33,30046800,0,0,143880,0,11800,400003,400003,0,0,0,"400 GW","100-0",16,"2018-01-19 11:03:09","ClcC55m","ClcC55m",18093.0632044843,0,769.118461972213,31459.6014558543,0,0,18862.1816664566,31459.6014558543,50321.7831223109,57437.5900289231,107759.373151234,17020.3280168872,73.1699800368741,45.6418103497391,0,0,73.1699800368741,45.6418103497391,2.36593680638982,31.2174940186558,33.5834308250456,39.5865492118284,7.01998543205691,0.187574466886743,0.17733259331327,0.376222183923819,0.284288073001321,1672.0388258604,0.689627613975926,393.244311874101,0.190406973595624,43.2818161711552,0.0221498338762459
"28","S0W600","coal_55mingen",2387673756130,2424553182,1286680244,1052492334.94,234187928,0,1052492334.94,1194567353.33,16853709.71,1325059.92,475495.82,4540.72,128787887.33,30046800,0,0,108240,500,35600,600016,0,600016,0,0,"600 GW","0-100",17,"2018-11-23 16:04:17","ClcC55m","ClcC55m",13611.2952547497,38.7515754230079,2320.39129205176,0,65636.6916307424,0,15970.4381222245,65636.6916307424,81607.1297529668,36733.442402,118340.572154967,27601.5270206201,62.3631065536303,51.0124344698825,0,0,62.3631065536303,51.0124344698825,3.7140256456475,32.4241611586208,36.1381868042683,26.224919749362,11.3841705867849,0.304185777795587,0.434097442264312,0.182009407661349,0.530687573096922,1107.3052174638,0.456704858315539,957.9779202707,0.463848226312228,28.812278901815,0.033665768912829
"29","S150W450","coal_55mingen",2255649413600,2424553182,1267252344,1122466904.68,144785448,215290345.6,907176558.91,1119530714.41,20495446.15,2368322.23,845356.62,11750.55,128787887.33,30046800,0,0,83820,8000,45800,600096,150088,450008,0,0,"600 GW","25-75",18,"2018-11-23 17:18:19","ClcC55m","ClcC55m",10540.4542521537,620.025206768127,2985.222504943,11804.1831268922,49227.081156781,0,14145.7019638648,61031.2642836732,75176.9662475381,34702.2986707692,109879.264918307,19140.2197839606,54.3724398725791,48.1603088545348,0,0,54.3724398725791,48.1603088545348,5.10814141447564,32.2123749633816,37.3205163778572,17.0519234947218,7.89432870603066,0.210936975980096,0.462958252684762,0.114251466967498,0.5226745915116,1040.7615800735,0.429259126093898,1024.521557661,0.496068330265284,18.6821054577495,0.0448594891484029
"30","S300W300","coal_55mingen",2482954479210,2424553182,1207988444,1010973653.09,197014791,359891405.98,651082247.09,1228484027.1,21217488.47,3919513.89,1122672.79,1139.25,128787887.33,30046800,0,0,95040,3750,39200,600019,300012,300007,0,0,"600 GW","50-50",19,"2018-11-23 18:39:44","ClcC55m","ClcC55m",11951.3811992924,290.636815672559,2555.03760248396,23595.4679139251,32818.2364238022,0,14797.0556174489,56413.7043377273,71210.7599551762,38199.2996801538,109410.05963533,18671.0145009834,55.8013595757922,46.700533120106,0,0,55.8013595757922,46.700533120106,5.02719928759376,32.3058110449554,37.3330103325492,18.468349243243,7.70080633396614,0.205766045623903,0.416973181118697,0.163093274516457,0.498231366079393,1142.5065355279,0.471223540902267,922.776602206601,0.446803920172822,20.2335153019009,0.0442485987943715
