Timepoint,net_load_final,hydro_dispatch_final
343,349711.66944,14388.7777852
344,349711.66944,17576.7777852
345,305514.0,2142.447225
346,239349.0,2142.447225
347,177437.0,2142.447225
348,130228.0,2142.447225
349,104020.0,2142.447225
350,103523.0,2142.447225
351,124964.0,2142.447225
352,169968.0,2142.447225
353,249540.0,2142.447225
354,349711.66944,5376.77778517
355,358046.997225,23673.45
356,358412.997225,23673.45
357,355355.997225,23673.45
358,349711.66944,20780.7777852
359,349711.66944,10064.7777852
360,348974.0,2142.447225
361,340127.0,2118.773775
362,332671.0,2118.773775
363,329382.0,2118.773775
364,330976.0,2118.773775
365,336975.0,2118.773775
366,349473.0,2118.773775
367,354524.867458,12808.9063168
368,354524.867458,17047.9063168
369,314760.0,2118.773775
370,252515.0,2118.773775
371,186586.0,2118.773775
372,135589.0,2118.773775
373,106927.0,2118.773775
374,105783.0,2118.773775
375,125322.0,2118.773775
376,172662.0,2118.773775
377,250293.0,2118.773775
378,354524.867458,3162.90631681
379,363513.323775,23673.45
380,364957.323775,23673.45
381,362220.323775,23673.45
382,354524.867458,22867.9063168
383,354524.867458,12427.9063168
384,354524.867458,2369.90631681
385,345905.0,2142.447225
386,338801.0,2142.447225
387,335584.0,2142.447225
388,337744.0,2142.447225
389,344551.0,2142.447225
390,355107.3912,2814.05602514
391,355107.3912,16010.0560251
392,355107.3912,18006.0560251
393,312646.0,2142.447225
394,247803.0,2142.447225
395,184938.0,2142.447225
396,136078.0,2142.447225
397,113200.0,2142.447225
398,125236.0,2142.447225
399,142075.0,2142.447225
400,189699.0,2142.447225
401,264705.0,2142.447225
402,355107.3912,8414.05602514
403,364459.997225,23673.45
404,363099.997225,23673.45
405,358534.997225,23673.45
406,355107.3912,17952.0560251
407,355107.3912,7134.05602514
408,352565.0,2142.447225
409,342764.0,2166.120675
410,331971.0,2166.120675
411,324297.0,2166.120675
412,323127.0,2166.120675
413,326219.0,2166.120675
414,335218.0,2166.120675
415,345850.563795,4269.55688017
416,345850.563795,5727.55688017
417,290794.0,2166.120675
418,228107.0,2166.120675
419,170982.0,2166.120675
420,125108.0,2166.120675
421,98486.0,2166.120675
422,95868.0,2166.120675
423,118566.0,2166.120675
424,162891.0,2166.120675
425,244884.0,2166.120675
426,345850.563795,8061.55688017
427,361743.670675,23673.45
428,362115.670675,23673.45
429,359686.670675,23673.45
430,351256.670675,23673.45
431,345850.563795,18095.5568802
432,345850.563795,10147.5568802
433,345730.0,2118.773775
434,337090.0,2118.773775
435,330937.0,2118.773775
436,331636.0,2118.773775
437,336329.0,2118.773775
438,345142.0,2118.773775
439,348835.949217,10777.8245584
440,348835.949217,12368.8245584
441,299443.0,2118.773775
442,232312.0,2118.773775
