,scenario,scenario_main,dispatch_cost,ann_gen_total_MWh,ann_gen_vre_nocurt_MWh,ann_gen_vre_MWh,ann_curt_vre_MWh,ann_gen_solarPV_MWh,ann_gen_wind_MWh,ann_gen_coal_MWh,ann_gen_gas_ccgt_MWh,ann_gen_gas_ct_MWh,ann_gen_diesel_MWh,ann_gen_other_MWh,ann_gen_hydro_MWh,ann_gen_nuclear_MWh,ann_discharge_bat_storage_MWh,ann_charge_bat_storage_MWh,new_capacity_coal_MW,new_capacity_gas_ccgt_MW,new_capacity_gas_ct_MW,capacity_vre_MW,capacity_solarPV_MW,capacity_wind_MW,capacity_bat_storage_MW,energy_bat_storage_MWh,scenario_build,scenario_split,rank,date_time,scenario_econ_dispatch,scenario_sensitivity,ann_cap_cost_coal_mil,ann_cap_cost_ccgt_mil,ann_cap_cost_ct_mil,ann_cap_cost_solar_mil,ann_cap_cost_wind_mil,ann_cap_cost_battery_mil,total_cost_new_conv,total_cost_vre,total_cost_capacity,total_cost_energy,total_cost,system_cost_vre,cost_vre_pMWh,cost_vre_nocurt_pMWh,cost_battery_pMWh,cost_battery_nocurt_pMWh,capacity_value_pMWh,energy_value_pMWh,system_cost_vre_pMWh,system_cost_add_pMWh_load,system_cost_add_perc,vre_share_after_curt,vre_curt,vre_share_nocurt,total_emissions_co2_milTonnes,grid_emissions_factor_kg_kWh,total_emissions_reduced_milTonnes,emissions_reduction,cost_emissions_reduction_pTonneCO2_avg,avoided_conv_cap_mw_perVREmw
21,S150W50,coal_55mingen,3.75189E+12,2424553182,392945562,392894373.9,51186,261614371.6,131280002.5,1838833753,31822358.62,1660160.02,507849.42,0,128787887.3,30046800,0,0,126720,0,24200,200039,150010,50029,0,0,200 GW,75-25,5,1/18/18 20:20,ClcC55m,ClcC55m,15935.17493,0,1577.344642,11798.04855,5472.750803,0,17512.51957,17270.79935,34783.31893,57721.33392,92504.65285,1765.607714,43.95786884,43.95214254,0,0,6.024270717,33.43974982,4.493848301,0.728219833,0.019458081,0.162048157,0.000130268,0.162069269,1706.554781,0.70386362,358.7283572,0.173694517,4.921851532,0.068086723
22,S200W0,coal_55mingen,3.89586E+12,2424553182,348007539,337681775.5,10325785,337681775.5,0,1893688674,31801837.38,1899713.82,646494.31,0,128787887.3,30046800,0,0,144540,0,11000,200004,200004,0,0,0,200 GW,100-0,6,1/18/18 21:40,ClcC55m,ClcC55m,18176.05891,0,716.9748374,15729.99735,0,0,18893.03374,15729.99735,34623.03109,59936.37906,94559.41015,3820.36502,46.58231059,45.2001626,0,0,2.921057554,32.34774637,11.31350667,1.575698586,0.042102769,0.139275879,0.029671091,0.14353471,1757.277296,0.724783976,308.0058413,0.149134923,12.4035473,0.0449991
23,S0W300,coal_55mingen,3.10206E+12,2424553182,687477610,685084456.8,2393155,0,685084456.8,1557722573,21463840.94,1191306.77,255178.09,1139.25,128787887.3,30046800,0,0,119460,0,33000,300007,0,300007,0,0,300 GW,0-100,7,1/18/18 22:54,ClcC55m,ClcC55m,15022.2222,0,2150.924512,0,32818.23642,0,17173.14671,32818.23642,49991.38314,47724.02222,97715.40536,6976.360227,47.9039279,47.73717129,0,0,3.950279276,33.77043667,10.18321195,2.877379749,0.076883774,0.282561118,0.003481063,0.283548167,1443.079349,0.595193935,622.2037883,0.301268033,11.21233968,0.040265727
24,S75W225,coal_55mingen,3.14386E+12,2424553182,662279339,660690937.5,1588397,130784848.3,529906089.2,1581081523,22219993.41,1243792.16,482248.94,0,128787887.3,30046800,0,0,109560,0,31400,300060,75025,225035,0,0,300 GW,25-75,8,1/19/18 0:08,ClcC55m,ClcC55m,13777.28666,0,2046.637263,5900.597244,24616.93172,0,15823.92392,30517.52896,46341.45288,48367.06254,94708.51542,3969.470287,46.19032475,46.07954252,0,0,6.13826752,34.04399799,6.008059233,1.637196625,0.043746,0.272500081,0.002398386,0.273155212,1465.106431,0.604278942,600.1767066,0.290602628,6.613835965,0.078584283
25,S150W150,coal_55mingen,3.24466E+12,2424553182,628643078,623359076.7,5284002,257725668.5,365633408.3,1614891730,25286998.61,1576394.14,604295.19,0,128787887.3,30046800,0,0,112860,0,31000,300020,150010,150010,0,0,300 GW,50-50,9,1/19/18 1:25,ClcC55m,ClcC55m,14192.26517,0,2020.565451,11798.04855,16409.82926,0,16212.83063,28207.87781,44420.70843,49917.84398,94338.55241,3599.507278,45.25141105,44.87105449,0,0,5.881988661,33.59505026,5.774372128,1.484606444,0.039668781,0.257102662,0.008405408,0.259282033,1497.809581,0.617767262,567.4735564,0.274767922,6.343039667,0.068928738
26,S225W75,coal_55mingen,3.46518E+12,2424553182,583353677,541848326.5,41505331,355193094.4,186655232.2,1690597366,30207468.78,2289851.66,775481.26,0,128787887.3,30046800,0,0,121440,0,27200,300020,225017,75003,0,0,300 GW,75-25,10,1/19/18 2:48,ClcC55m,ClcC55m,15271.20931,0,1772.883234,17697.23012,8204.695845,0,17044.09254,25901.92597,42946.01851,53310.41316,96256.43168,5517.386542,47.80290849,44.40175315,0,0,5.232698825,32.38768022,10.18252945,2.275630241,0.060804988,0.223483787,0.071149548,0.24060255,1570.115215,0.647589513,495.1679227,0.239757888,11.1424555,0.052996467
27,S300W0,coal_55mingen,3.78481E+12,2424553182,519352657,401863147.5,117489503,401863147.5,0,1828411021,32115342.72,2408825.03,920158.17,0,128787887.3,30046800,0,0,143880,0,11400,300014,300014,0,0,0,300 GW,100-0,11,1/19/18 4:15,ClcC55m,ClcC55m,18093.0632,0,743.0466497,23595.62521,0,0,18836.10985,23595.62521,42431.73506,58227.82349,100659.5586,9920.513423,58.71557359,45.43276114,0,0,2.596186782,31.43308879,24.68629802,4.091687284,0.10933015,0.165747302,0.226222987,0.214205513,1697.898673,0.700293434,367.3844648,0.177885762,27.00308362,0.030865226
28,S0W400,coal_55mingen,2.78876E+12,2424553182,888594843,849354929.3,39239894,0,849354929.3,1394576849,20172475.79,1280762.23,332339.52,1139.25,128787887.3,30046800,0,0,113520,0,40200,400031,0,400031,0,0,400 GW,0-100,12,1/19/18 5:29,ClcC55m,ClcC55m,14275.26088,0,2620.217133,0,43760.01872,0,16895.47801,43760.01872,60655.49673,42904.00539,103559.5021,12820.45698,51.52147496,49.24631182,0,0,3.513188107,32.91394109,15.09434576,5.287760678,0.141289309,0.350314002,0.044159511,0.366498392,1292.562539,0.533113709,772.7205986,0.374147537,16.59132292,0.027047904
29,S100W300,coal_55mingen,2.77235E+12,2424553182,862515820,845287343.7,17228481,168468492.5,676818851.3,1398044883,20352977.57,1392284.31,639036.24,1969.28,128787887.3,30046800,0,0,101640,750,36400,400086,100079,300007,0,0,400 GW,25-75,13,1/19/18 6:45,ClcC55m,ClcC55m,12781.33823,58.12736313,2372.534917,7871.054602,32818.23642,0,15212.00051,40689.29103,55901.29153,42651.58459,98552.87612,7813.830988,48.13663818,47.17512431,0,0,5.52169765,33.37094671,9.243993828,3.222792161,0.086113216,0.348636338,0.019974679,0.355742174,1296.150692,0.534593632,769.1324455,0.372410171,10.15927885,0.064361162
30,S200W200,coal_55mingen,2.92799E+12,2424553182,825174368,782608957.7,42565424,318681235.5,463927722,1456624049,23441780.58,2214183.64,829524.05,0,128787887.3,30046800,0,0,107580,0,34200,400009,200004,200005,0,0,400 GW,50-50,14,1/19/18 8:09,ClcC55m,ClcC55m,13528.29955,0,2229.139949,15729.99735,21878.86075,0,15757.4395,37608.8581,53366.2976,45046.06427,98412.36187,7673.316731,48.05574703,45.57686176,0,0,5.266975422,32.98398129,9.804790318,3.164837459,0.084564663,0.322784818,0.051583534,0.340340799,1352.014818,0.557634631,713.2683195,0.345361034,10.75796656,0.05689872
