Line,Node From,Node To,Type,Voltage.From,Voltage.To,Max Flow,Min Flow,ratingA,ratingB,ratingC,Resistance,Reactance,Status,Length,Units
184002_184006_1_CKT,184002_KISHENPUR_400,184006_DULHASTI_400,AC,400,400,517,-517,517,1093,1202.3,0.00223,0.02485,1,NA,1
184003_184005_1_CKT,184003_WAGOORA_400,184005_NEWWANPO_400,AC,400,400,560,-560,560,1093,1202.3,0.001026,0.0109611,1,NA,1
184003_184005_2_CKT,184003_WAGOORA_400,184005_NEWWANPO_400,AC,400,400,560,-560,560,1093,1202.3,0.001026,0.0109611,1,NA,1
184003_184007_1_CKT,184003_WAGOORA_400,184007_URIG-2_400,AC,400,400,517,-517,517,1093,1202.3,0.0019,0.02117,1,NA,1
190000_190001_1_CKT,190000_CHANDIGA_S39_66,190001_CHANDIGA_S12_66,AC,66,66,34,-34,34,44,0,0.03238,0.04714,1,NA,1
190000_190001_2_CKT,190000_CHANDIGA_S39_66,190001_CHANDIGA_S12_66,AC,66,66,34,-34,34,44,0,0.03238,0.04714,1,NA,1
190001_190002_1_CKT,190001_CHANDIGA_S12_66,190002_CHANDIGA_S01_66,AC,66,66,34,-34,34,44,0,0.0182,0.02649,1,NA,1
190001_190002_2_CKT,190001_CHANDIGA_S12_66,190002_CHANDIGA_S01_66,AC,66,66,34,-34,34,44,0,0.0182,0.02649,1,NA,1
190002_190013_1_CKT,190002_CHANDIGA_S01_66,190013_KISHANGA_CHA_66,AC,66,66,34,-34,34,44,0,0.03898,0.05674,1,NA,1
190003_190013_1_CKT,190003_MANIMAJRA_66,190013_KISHANGA_CHA_66,AC,66,66,34,-34,34,44,0,0.01535,0.02235,1,NA,1
190003_190013_2_CKT,190003_MANIMAJRA_66,190013_KISHANGA_CHA_66,AC,66,66,34,-34,34,44,0,0.01535,0.02235,1,NA,1
190004_190005_1_CKT,190004_CHANDIGA_S28_66,190005_IA_PH_I_66,AC,66,66,34,-34,34,44,0,0.01307,0.01902,1,NA,1
190004_190005_2_CKT,190004_CHANDIGA_S28_66,190005_IA_PH_I_66,AC,66,66,34,-34,34,44,0,0.01307,0.01902,1,NA,1
