gen_capacity,generator,type,var_cost
660.0,COAL-NEW-447,coal,2446.0
660.0,COAL-NEW-448,coal,2447.0
660.0,COAL-NEW-449,coal,2448.0
660.0,COAL-NEW-450,coal,2449.0
660.0,COAL-NEW-451,coal,2450.0
660.0,COAL-NEW-452,coal,2451.0
660.0,COAL-NEW-453,coal,2452.0
660.0,COAL-NEW-454,coal,2453.0
660.0,COAL-NEW-455,coal,2454.0
660.0,COAL-NEW-456,coal,2455.0
660.0,COAL-NEW-457,coal,2456.0
660.0,COAL-NEW-458,coal,2457.0
660.0,COAL-NEW-459,coal,2458.0
660.0,COAL-NEW-460,coal,2459.0
660.0,COAL-NEW-461,coal,2460.0
660.0,COAL-NEW-462,coal,2461.0
660.0,COAL-NEW-463,coal,2462.0
660.0,COAL-NEW-464,coal,2463.0
660.0,COAL-NEW-465,coal,2464.0
660.0,COAL-NEW-466,coal,2465.0
660.0,COAL-NEW-467,coal,2466.0
660.0,COAL-NEW-468,coal,2467.0
660.0,COAL-NEW-469,coal,2468.0
660.0,COAL-NEW-470,coal,2469.0
660.0,COAL-NEW-471,coal,2470.0
660.0,COAL-NEW-472,coal,2471.0
660.0,COAL-NEW-473,coal,2472.0
660.0,COAL-NEW-474,coal,2473.0
660.0,COAL-NEW-475,coal,2474.0
660.0,COAL-NEW-476,coal,2475.0
660.0,COAL-NEW-477,coal,2476.0
660.0,COAL-NEW-478,coal,2477.0
660.0,COAL-NEW-479,coal,2478.0
660.0,COAL-NEW-480,coal,2479.0
660.0,COAL-NEW-481,coal,2480.0
660.0,COAL-NEW-482,coal,2481.0
660.0,COAL-NEW-483,coal,2482.0
660.0,COAL-NEW-484,coal,2483.0
660.0,COAL-NEW-485,coal,2484.0
660.0,COAL-NEW-486,coal,2485.0
660.0,COAL-NEW-487,coal,2486.0
660.0,COAL-NEW-488,coal,2487.0
660.0,COAL-NEW-489,coal,2488.0
660.0,COAL-NEW-490,coal,2489.0
660.0,COAL-NEW-491,coal,2490.0
660.0,COAL-NEW-492,coal,2491.0
660.0,COAL-NEW-493,coal,2492.0
660.0,COAL-NEW-494,coal,2493.0
660.0,COAL-NEW-495,coal,2494.0
660.0,COAL-NEW-496,coal,2495.0
660.0,COAL-NEW-497,coal,2496.0
660.0,COAL-NEW-498,coal,2497.0
660.0,COAL-NEW-499,coal,2498.0
660.0,COAL-NEW-500,coal,2499.0
660.0,COAL-NEW-501,coal,2500.0
660.0,COAL-NEW-502,coal,2501.0
660.0,COAL-NEW-503,coal,2502.0
660.0,COAL-NEW-504,coal,2503.0
660.0,COAL-NEW-505,coal,2504.0
660.0,COAL-NEW-506,coal,2505.0
660.0,COAL-NEW-507,coal,2506.0
660.0,COAL-NEW-508,coal,2507.0
660.0,COAL-NEW-509,coal,2508.0
660.0,COAL-NEW-510,coal,2509.0
660.0,COAL-NEW-511,coal,2510.0
660.0,COAL-NEW-512,coal,2511.0
660.0,COAL-NEW-513,coal,2512.0
660.0,COAL-NEW-514,coal,2513.0
660.0,COAL-NEW-515,coal,2514.0
660.0,COAL-NEW-516,coal,2515.0
660.0,COAL-NEW-517,coal,2516.0
660.0,COAL-NEW-518,coal,2517.0
660.0,COAL-NEW-519,coal,2518.0
660.0,COAL-NEW-520,coal,2519.0
660.0,COAL-NEW-521,coal,2520.0
660.0,COAL-NEW-522,coal,2521.0
660.0,COAL-NEW-523,coal,2522.0
660.0,COAL-NEW-524,coal,2523.0
660.0,COAL-NEW-525,coal,2524.0
660.0,COAL-NEW-526,coal,2525.0
660.0,COAL-NEW-527,coal,2526.0
660.0,COAL-NEW-528,coal,2527.0
660.0,COAL-NEW-529,coal,2528.0
660.0,COAL-NEW-530,coal,2529.0
660.0,COAL-NEW-531,coal,2530.0
660.0,COAL-NEW-532,coal,2531.0
660.0,COAL-NEW-533,coal,2532.0
660.0,COAL-NEW-534,coal,2533.0
660.0,COAL-NEW-535,coal,2534.0
660.0,COAL-NEW-536,coal,2535.0
660.0,COAL-NEW-537,coal,2536.0
660.0,COAL-NEW-538,coal,2537.0
660.0,COAL-NEW-539,coal,2538.0
660.0,COAL-NEW-540,coal,2539.0
660.0,COAL-NEW-541,coal,2540.0
660.0,COAL-NEW-542,coal,2541.0
660.0,COAL-NEW-543,coal,2542.0
660.0,COAL-NEW-544,coal,2543.0
660.0,COAL-NEW-545,coal,2544.0
660.0,COAL-NEW-546,coal,2545.0
660.0,COAL-NEW-547,coal,2546.0
660.0,COAL-NEW-548,coal,2547.0
660.0,COAL-NEW-549,coal,2548.0
660.0,COAL-NEW-550,coal,2549.0
660.0,COAL-NEW-551,coal,2550.0
660.0,COAL-NEW-552,coal,2551.0
660.0,COAL-NEW-553,coal,2552.0
