Day,HYDRO-PONDAGE,HYDRO-ROR,NUCLEAR
303,0.3,0.3,0.678
304,0.3,0.3,0.678
305,0.3,0.3,0.678
306,0.3,0.3,0.678
307,0.3,0.2,0.678
308,0.3,0.2,0.678
309,0.3,0.2,0.678
310,0.3,0.2,0.678
311,0.3,0.2,0.678
312,0.3,0.2,0.678
313,0.3,0.2,0.678
314,0.3,0.2,0.678
315,0.3,0.2,0.678
316,0.2,0.2,0.678
317,0.2,0.2,0.678
318,0.2,0.2,0.678
319,0.2,0.2,0.678
320,0.2,0.2,0.678
321,0.2,0.2,0.678
322,0.2,0.2,0.678
323,0.2,0.2,0.678
324,0.2,0.2,0.678
325,0.2,0.2,0.678
326,0.2,0.2,0.678
327,0.2,0.2,0.678
328,0.2,0.2,0.678
329,0.2,0.2,0.678
330,0.2,0.2,0.678
331,0.2,0.2,0.678
332,0.2,0.2,0.678
333,0.2,0.2,0.678
334,0.2,0.2,0.678
335,0.2,0.2,0.678
336,0.2,0.2,0.678
337,0.2,0.2,0.678
338,0.2,0.2,0.678
339,0.2,0.2,0.678
340,0.2,0.2,0.678
341,0.2,0.2,0.678
342,0.2,0.2,0.678
343,0.2,0.2,0.678
344,0.2,0.2,0.678
345,0.2,0.2,0.678
346,0.2,0.2,0.678
347,0.2,0.2,0.678
348,0.2,0.2,0.678
349,0.2,0.2,0.678
350,0.2,0.2,0.678
351,0.2,0.2,0.678
352,0.2,0.2,0.678
353,0.2,0.2,0.678
354,0.2,0.2,0.678
355,0.2,0.2,0.678
356,0.2,0.2,0.678
357,0.2,0.2,0.678
358,0.2,0.2,0.678
359,0.2,0.2,0.678
360,0.2,0.2,0.678
361,0.2,0.2,0.678
362,0.2,0.2,0.678
363,0.2,0.2,0.678
364,0.2,0.2,0.678
365,0.2,0.2,0.678
366,0.2,0.2,0.678
367,0.2,0.2,0.678
368,0.2,0.2,0.678
