solar_cost_direction,low or high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
solar_cost_suffix,,,,,,,,,,,,,,,,,,S10lc,S20lc,S30lc,S30lc,,,,,,,,,,,S30lc,S30lc,,,S30lc,S30lc,S30lc,,S30lc,S30lc,,,S30lc,S30lc,S30lc,,S30lc,S30lc,,,,
solar_cost_fkey,,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC10,solarLC20,solarLC30,solarLC30,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC0,solarLC30,solarLC30,solarLC0,solarLC0,solarLC30,solarLC30,solarLC30,solarLC0,solarLC30,solarLC30,solarLC0,solarLC0,solarLC30,solarLC30,solarLC30,solarLC0,solarLC30,solarLC30,solarLC0,solarLC0,solarLC0,solarLC0
wind_HH,Hub height in meters. 80m is base,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,120,80,80,120,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
wind_HH_suffix,,,,,,,,,,,,,,,,,,,,,,W120,,,W120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_HH_fkey,,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W120,W80,W80,W120,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80,W80
solar_orient,"degrees to west 0d, 45d, 90d or 1A for 1 axis tracking",0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,1A,90d,1A,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d,0d
solar_orient_suffix,,,,,,,,,,,,,,,,,,,,,,,S1A,S90d,S1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solar_orient_fkey,,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S1A,S90d,S1A,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d,S0d
load_year,,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
load_year_suffix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
load_modifier,"""none"", ""mod"", ""mod1"".",none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,mod_D0_M0_energyOnly,mod_D50_M0_energyOnly,mod_D25_M25_energyOnly,mod_low15pc_energyOnly
load_modified_suffix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lmod_D0_M0_energyOnly,Lmod_D50_M0_energyOnly,Lmod_D25_M25_energyOnly,Lmod_low15pc_energyOnly
dispatch_horizon,"RT or LA. If LA, include days",RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT,RT
LA_days,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dispatch_time_suffix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
