Timepoint,load,dateTime,Day
675,100997,1/29/2014 2:55,29
676,101526,1/29/2014 3:55,29
677,103546,1/29/2014 4:55,29
678,107040,1/29/2014 5:55,29
679,110746,1/29/2014 6:55,29
680,113997,1/29/2014 7:55,29
681,116163,1/29/2014 8:55,29
682,116925,1/29/2014 9:55,29
683,116158,1/29/2014 10:55,29
684,114849,1/29/2014 11:55,29
685,113566,1/29/2014 12:55,29
686,112484,1/29/2014 13:55,29
687,111846,1/29/2014 14:55,29
688,112153,1/29/2014 15:55,29
689,114152,1/29/2014 16:55,29
690,116719,1/29/2014 17:55,29
691,118402,1/29/2014 18:55,29
692,118917,1/29/2014 19:55,29
693,118119,1/29/2014 20:55,29
694,115230,1/29/2014 21:55,29
695,111155,1/29/2014 22:55,29
696,107533,1/29/2014 23:55,29
697,104589,1/30/2014 0:55,30
698,102412,1/30/2014 1:55,30
699,101522,1/30/2014 2:55,30
700,102362,1/30/2014 3:55,30
701,104887,1/30/2014 4:55,30
702,108791,1/30/2014 5:55,30
703,112575,1/30/2014 6:55,30
704,116052,1/30/2014 7:55,30
705,118195,1/30/2014 8:55,30
706,118734,1/30/2014 9:55,30
707,117627,1/30/2014 10:55,30
708,116239,1/30/2014 11:55,30
709,114775,1/30/2014 12:55,30
710,113656,1/30/2014 13:55,30
711,112967,1/30/2014 14:55,30
712,113301,1/30/2014 15:55,30
713,115047,1/30/2014 16:55,30
714,117144,1/30/2014 17:55,30
715,118336,1/30/2014 18:55,30
716,118620,1/30/2014 19:55,30
717,117772,1/30/2014 20:55,30
718,115047,1/30/2014 21:55,30
719,111469,1/30/2014 22:55,30
720,108496,1/30/2014 23:55,30
721,106022,1/31/2014 0:55,31
722,104119,1/31/2014 1:55,31
723,103383,1/31/2014 2:55,31
724,103969,1/31/2014 3:55,31
725,105988,1/31/2014 4:55,31
726,109491,1/31/2014 5:55,31
727,113024,1/31/2014 6:55,31
728,116323,1/31/2014 7:55,31
729,118686,1/31/2014 8:55,31
730,119662,1/31/2014 9:55,31
731,119048,1/31/2014 10:55,31
732,117986,1/31/2014 11:55,31
733,116946,1/31/2014 12:55,31
734,116260,1/31/2014 13:55,31
735,115714,1/31/2014 14:55,31
736,115707,1/31/2014 15:55,31
737,117194,1/31/2014 16:55,31
738,118993,1/31/2014 17:55,31
739,119638,1/31/2014 18:55,31
740,119414,1/31/2014 19:55,31
741,118317,1/31/2014 20:55,31
742,115480,1/31/2014 21:55,31
743,111480,1/31/2014 22:55,31
744,107979,1/31/2014 23:55,31
745,105124,2/1/2014 0:55,32
746,102916,2/1/2014 1:55,32
747,101868,2/1/2014 2:55,32
748,102522,2/1/2014 3:55,32
749,104822,2/1/2014 4:55,32
