,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh,,
183,1879.67193,2237.59085,3430,757.827,193081.7254,25365.76326,0,0,0,272970,54522.51136,46217.42158,0,,
184,1879.67193,2237.59085,3430,757.827,154180.3528,24048.8562,0,0,0,272705,94475.79097,86170.70119,0,,
185,1879.67193,2237.59085,3430,757.827,93451.27535,23026.8123,0,0,0,276522,160043.9124,151738.8226,0,,
186,16448.78822,2237.59085,3430,757.827,14228.0081,20380.53079,0,0,0,280897,246288.4611,223414.255,0,,
187,23673.45,2237.59085,3430,757.827,0,21140.56322,0,0,0,283134,261993.4368,231894.5689,0,,
188,23673.45,2237.59085,3430,757.827,0,25067.06951,0,0,0,283435,258367.9305,228269.0626,0,,
189,23673.45,2237.59085,3430,757.827,0,27466.84584,0,0,0,280393,252926.1542,222827.2863,0,,
190,15007.05362,2237.59085,3430,757.827,0,27352.2735,0,0,0,272199,244846.7265,223414.255,0,,
191,6936.157425,2237.59085,3430,757.827,0,26133.16969,0,0,0,262909,236775.8303,223414.255,0,,
192,1879.67193,2237.59085,3430,757.827,0,24557.24366,0,0,0,255405,230847.7563,222542.6666,0,,
193,2078.52891,2237.59085,3430,757.827,0,23033.8787,0,0,0,248092,225058.1213,216554.1745,0,,
194,2078.52891,2237.59085,3430,757.827,0,21897.07685,0,0,0,242372,220474.9232,211970.9764,0,,
195,2078.52891,2237.59085,3430,757.827,0,21078.13145,0,0,0,240229,219150.8686,210646.9218,0,,
196,2078.52891,2237.59085,3430,757.827,0,20605.89578,0,0,0,242082,221476.1042,212972.1575,0,,
197,2078.52891,2237.59085,3430,757.827,0,20422.31837,0,0,0,247090,226667.6816,218163.7349,0,,
198,2078.52891,2237.59085,3430,757.827,0,20374.78159,0,0,0,255452,235077.2184,226573.2717,0,,
199,14624.8978,2237.59085,3430,757.827,0,20563.8165,0,0,0,265581,245017.1835,223966.8678,0,,
200,15596.35973,2237.59085,3430,757.827,8821.844329,20890.51024,0,0,0,275701,245988.6454,223966.8678,0,,
201,2078.52891,2237.59085,3430,757.827,65492.41749,20233.39496,0,0,0,282705,196979.1876,188475.2408,0,,
202,2078.52891,2237.59085,3430,757.827,124293.5543,18460.43522,0,0,0,285110,142356.0105,133852.0638,0,,
203,2078.52891,2237.59085,3430,757.827,172046.5266,18343.89278,0,0,0,283186,92795.58059,84291.63383,0,,
204,2078.52891,2237.59085,3430,757.827,202372.331,21166.14261,0,0,0,279120,55581.52639,47077.57963,0,,
205,2078.52891,2237.59085,3430,757.827,217899.4687,19526.3183,0,0,0,275035,37609.21298,29105.26622,0,,
206,2078.52891,2237.59085,3430,757.827,214205.3059,16060.11079,0,0,0,272201,41935.5833,33431.63654,0,,
207,2078.52891,2237.59085,3430,757.827,194904.7548,13731.65992,0,0,0,271284,62647.58525,54143.63849,0,,
208,2078.52891,2237.59085,3430,757.827,155180.6731,12717.31451,0,0,0,272074,104176.0124,95672.06565,0,,
209,2078.52891,2237.59085,3430,757.827,96284.37267,12450.30334,0,0,0,277005,168270.324,159766.3772,0,,
210,23673.45,2237.59085,3430,757.827,16278.09244,12731.87251,0,0,0,281697,252687.0351,222588.1672,0,,
