Day,HYDRO-PONDAGE,HYDRO-ROR,NUCLEAR
316,0.249,0.222,0.678
317,0.245,0.219,0.678
318,0.241,0.215,0.678
319,0.237,0.215,0.678
320,0.234,0.212,0.678
321,0.231,0.208,0.678
322,0.229,0.204,0.678
323,0.228,0.201,0.678
324,0.227,0.199,0.678
325,0.224,0.196,0.678
326,0.221,0.191,0.678
327,0.218,0.188,0.678
328,0.215,0.19,0.678
329,0.212,0.188,0.678
330,0.207,0.186,0.678
331,0.202,0.186,0.678
332,0.201,0.186,0.678
333,0.197,0.186,0.678
334,0.199,0.185,0.678
335,0.198,0.18,0.678
336,0.196,0.178,0.678
337,0.198,0.177,0.678
338,0.199,0.173,0.678
339,0.197,0.171,0.678
340,0.199,0.17,0.678
341,0.195,0.168,0.678
342,0.192,0.168,0.678
343,0.191,0.168,0.678
344,0.187,0.168,0.678
345,0.179,0.168,0.678
346,0.175,0.168,0.678
347,0.172,0.169,0.678
348,0.171,0.169,0.678
349,0.173,0.168,0.678
350,0.173,0.166,0.678
351,0.173,0.167,0.678
352,0.178,0.166,0.678
353,0.179,0.164,0.678
354,0.179,0.161,0.678
355,0.179,0.159,0.678
356,0.179,0.159,0.678
357,0.179,0.159,0.678
358,0.179,0.156,0.678
359,0.179,0.154,0.678
360,0.177,0.153,0.678
361,0.176,0.152,0.678
362,0.173,0.151,0.678
363,0.165,0.152,0.678
364,0.159,0.153,0.678
365,0.154,0.157,0.678
366,0.154,0.157,0.678
367,0.154,0.157,0.678
368,0.154,0.157,0.678
